loc,Stock1,Stock2,pValue,stat,coef,coef2,const
01,KKP,TCAP,0.001,-5.147624646,-0.318205191,0.567215712,-5.222056691
02,KBANK,BAY,0.001,-4.905637656,-0.05898435,0.236832859,2.477089366
03,BAY,TMB,0.001,-4.855041742,-0.221715375,4.385414342,-0.796380483
04,SCB,BAY,0.001,-4.595541155,-0.090043472,0.186973722,5.296570765
05,BAY,KTB,0.001,-4.470563157,-0.213298847,0.600864247,-2.432867199
06,TISCO,TCAP,0.001,-4.400101985,-0.227690846,0.485318828,-4.59617136
07,KBANK,KTB,0.001,-4.170727584,-0.073553248,0.82908101,-0.193524068
08,CPALL,RATCH,0.001,-5.639820724,-1.479914073,2.669910324,5.905386248
09,INTUCH,QH,0.001,-4.834391373,0.310890472,-0.564109169,5.577682391
10,QH,SAWAD,0.001,-4.744697577,0.508267042,-0.23830149,-4.882170972
11,HMPRO,OSP,0.001,-4.725668004,-0.077839503,0.282896976,1.618458211
12,HMPRO,MINT,0.001,-4.69751313,-0.081319292,2.916783233,8.390041368
13,HMPRO,PTT,0.001,-4.360956732,-0.030885995,0.11736231,-9.90279425
14,MINT,PTT,0.001,-4.285827837,-0.798367174,0.09374862,-10.55730926
15,OSP,PTT,0.001,-4.273707894,-0.087666876,0.093938911,-8.463606221
16,CHG,PTT,0.001,-4.231268464,-0.041754207,0.085487309,-10.06351596
17,AMATA,DTAC,0.001,-4.224064513,-0.082222156,0.35861241,-4.75386935
18,PTT,STEC,0.001,-4.203802701,-0.087548349,0.173382154,10.27758474
19,PTT,PTTGC,0.001,-4.182185821,-0.074490051,-0.027170742,10.05234182
20,IRPC,KBANK,0.001,-4.165258927,-0.386152942,0.272973046,-0.797005104
21,PTT,PTTEP,0.001,-4.163929987,-0.090202802,0.082222716,10.11262654
22,CBG,PTT,0.001,-4.126455745,-0.008209662,0.078208338,-9.737630847
23,DTAC,PTT,0.001,-4.114706077,-0.040899785,-0.061649639,10.10513291
24,KKP,PTT,0.001,-4.11015662,-0.007669856,0.075731577,-9.11858659
25,AOT,PTT,0.001,-4.075359305,-0.027039558,0.078184707,-9.809553004
26,BCH,PTT,0.001,-4.071959499,-0.030863938,0.078036677,-9.878446487
27,INTUCH,PTT,0.001,-4.068944154,-0.010678741,0.079216748,-9.933283258
28,PTT,SAWAD,0.001,-4.06677421,-0.076501341,0.002230201,9.882602908
29,PTT,RATCH,0.001,-4.06279605,-0.076942862,0.039757053,9.954453114
30,PTT,SCB,0.001,-4.061076581,-0.07515921,-0.002083295,9.950182304
31,CPALL,PTT,0.001,-4.060222022,-0.01543282,0.076646996,-9.88260057
32,IVL,PTT,0.001,-4.058741602,-0.008895636,0.077977514,-9.933747712
33,PTT,QH,0.001,-4.058475011,-0.076600621,0.004631267,9.86159088
34,AMATA,PTT,0.001,-4.057507619,-0.003454629,0.0787707,-9.726814066
35,HANA,PTT,0.001,-4.056504896,0.000430073,0.075501716,-9.884048572
36,KTC,PTT,0.001,-4.056304099,-0.000630746,0.075709363,-9.867799632
37,GPSC,PTT,0.001,-4.056031933,0.045114086,0.074868088,-9.964223888
38,BGRIM,PTT,0.001,-4.056001197,-0.000238546,0.075637577,-9.887161767
39,BDMS,PTT,0.001,-4.055434245,-0.002786911,0.075947776,-9.872359868
40,BEC,PTT,0.001,-4.055085419,0.000321803,0.075544233,-9.866231892
41,IRPC,PTT,0.001,-4.053367552,0.008965464,0.074433203,-9.794021007
42,AWC,PTT,0.001,-4.052459953,0.001865386,0.074853287,-9.831963813
43,BGRIM,SAWAD,0.001,-4.040052042,0.221948335,-0.174318005,-3.076505643
44,KBANK,PTT,0.001,-4.039565872,0.004667781,0.074386134,-9.787147116
